,delivery,ball,rightHandedBat,rightArmedBowl,bowlingStyle,ballSpeed,runs,batterRuns,bowlerRuns,extras,pitchX,pitchY,stumpsX,stumpsY,fieldX,fieldY
95798,2.8.1,1,True,True,LEG_SPIN,26.383,0,0,0,,0.115,2.639,-0.126,0.451,52.0,42.0
95799,2.8.2,2,True,True,LEG_SPIN,25.572,1,1,1,,0.282,5.016,-0.284,0.616,77.0,54.0
95801,2.8.4,4,True,True,LEG_SPIN,26.884,4,4,4,,-0.009,4.075,0.097,0.485,54.0,92.0
95802,2.8.5,5,True,True,LEG_SPIN,26.59,2,2,2,,0.122,6.641,0.017,0.662,76.0,65.0
95803,2.8.6,6,True,True,LEG_SPIN,23.823,6,6,6,,0.251,4.78,0.034,0.767,54.0,95.0
95805,2.9.2,2,True,True,MEDIUM_SEAM,33.96,1,1,1,,0.547,6.73,-0.487,0.746,16.0,46.0
95808,2.9.5,5,True,True,MEDIUM_SEAM,37.774,1,0,1,Wd,1.013,3.448,-1.023,0.395,5.0,5.0
95809,2.9.6,5,True,True,MEDIUM_SEAM,34.209,1,1,1,,0.36,7.787,-0.043,0.69,62.0,14.0
95814,2.10.4,4,True,True,LEG_SPIN,23.187,1,1,1,,0.91,3.266,-1.133,0.464,39.0,73.0
95816,2.10.6,6,True,True,LEG_SPIN,26.47,1,1,1,,-0.164,3.157,0.248,0.263,28.0,39.0
95817,2.11.1,1,True,True,MEDIUM_SEAM,-1.0,0,0,0,,0.945,9.745,-0.757,0.966,0.0,0.0
96761,2.15.2,2,True,True,MEDIUM_SEAM,-1.0,1,1,1,,0.73,6.853,-0.721,0.602,17.0,50.0
96764,2.15.5,5,True,True,MEDIUM_SEAM,35.078,0,0,0,,0.561,5.908,-0.419,0.465,0.0,0.0
96765,2.15.6,6,True,True,MEDIUM_SEAM,31.364,2,2,2,,0.674,8.44,-0.466,0.611,21.0,54.0
96768,2.16.3,3,True,False,ORTHODOX,25.456,1,1,1,,0.067,6.506,0.113,0.645,67.0,52.0
96770,2.16.5,5,True,False,ORTHODOX,28.984,0,0,0,,-0.125,6.202,0.436,0.629,0.0,0.0
96771,2.16.6,6,True,False,ORTHODOX,30.904,1,1,1,,-0.09,3.981,0.32,0.444,69.0,52.0
96772,2.17.1,1,True,True,FAST_SEAM,36.601,1,1,1,,0.902,10.091,-0.589,1.122,19.0,50.0
96774,2.17.3,3,True,True,FAST_SEAM,40.079,0,0,0,,0.418,7.154,0.044,0.501,0.0,0.0
98442,2.11.3,3,True,False,SEAM,26.149,1,1,1,,0.166,7.032,0.045,0.813,59.0,81.0
98444,2.11.5,5,True,False,SEAM,26.23,1,1,1,,-0.051,5.253,0.313,0.655,56.0,29.0
98447,2.12.2,2,True,False,ORTHODOX,22.596,0,0,0,,0.217,5.185,-0.092,0.549,42.0,43.0
98448,2.12.3,3,True,False,ORTHODOX,22.012,0,0,0,,0.537,6.411,-0.528,0.458,45.0,55.0
98449,2.12.4,4,True,False,ORTHODOX,24.314,1,1,1,,0.227,5.06,-0.089,0.485,38.0,83.0
